Location,Name,,,,Review_Date,Review,,,,,,,,,Response
https://lh3.googleusercontent.com/a-/ALV-UjXeP6L9LMCGa8BR88K8DnJWSk5OeUT67xN98qE3I3VxWCSXc3mk=w45-h45-p-rp-mo-ba4-br100,Pramod Kumar,,,,6 months ago,"Stop eating at this place, I have visited bangalores, nd punes AB but this Hyderabad Gachibowlis one was the worst . First of all no cleanliness, food items were stale nd sorry to say third class crowd over there. Got cockroach in my muffin, here is the proof..",,,,,,,,,
https://lh3.googleusercontent.com/a-/ALV-UjXT-4yFN2o1kiyRIfzja5DFcq834EgX6MogTBz15Y71n-eGhAFG=w45-h45-p-rp-mo-ba5-br100,abhinav deep,,,,a year ago,"Food 2/5
Service 2/5
Ambience 2/5 …",,,,,,,,,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-282489) on …"
https://lh3.googleusercontent.com/a-/ALV-UjWDJXjFATCfbJNal-9hta91RbT8L-6NomBvyBR8C35m8OBsp59F=w45-h45-p-rp-mo-br100,Vijay Nammi,,,,a month ago,"Idiotic varieties for the price they have charged. 90% of the varieties are of boiler chicken. Grilled kebabs were precooked, hence lacking the soft texture and no taste. …",,,,,,,,,
https://lh3.googleusercontent.com/a/ACg8ocIeLuI_LytL7wXm6MQOp2Y7Pbcq_pon-RbfwY3OYL0h7tsDI18=w45-h45-p-rp-mo-br100,surya ajay,,,,a year ago,"I am posting this live now, this is one of the worst places DONT VISIT, very pathetic service and very worst food. Ever after 1 hour of the request your requested food will not be served .You will not get service nor food. Very pathetic …",,,,,,,,,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the said experience, would request you to share your mobile no on wecare@absolute-barbecue.com. We look forward to improve and would be delighted to win you back. Warm Regards Team ABs"
https://lh3.googleusercontent.com/a-/ALV-UjVwbFmI8FAIrO95fQVfSQPFGSz0Dl2pr5OTsTCHfO8F_Rx1SC8j=w45-h45-p-rp-mo-br100,Sai Hithesh,,,,6 months ago,"We are pure vegetarians, I ordered veg biryani from swiggy, I got mutton bone in my biryani. What the hell is this.",,,,,,,,,
https://lh3.googleusercontent.com/a/ACg8ocLIUbkath2ffqxkBeDayCmIMgp_iS1QSabxm_EfiEVnzOrgcw=w45-h45-p-rp-mo-br100,armaan akhter,,,,5 days ago,waste management they gave us time 3.30 PM @Gachibowli Branch when our family reached they are saying just now kitchen is closed they didnt informed Us . manager also not spokd properly disgusting guy dont no manners also .waste management …,,,,,,,,,
https://lh3.googleusercontent.com/a-/ALV-UjVJ9y7VlH5pK04W6_GVUjkjXRjfMuSsu_FWogL-4Y6Nydmj5Rpm=w45-h45-p-rp-mo-ba4-br100,Babu Rajan,,,,2 years ago,"Absolute barbecue lost its jewel, it's one of the nice place to have get together in past. As we see all smiling faces and serve with taste and respect,no more you can expect taste but still respect is left out. It more now a commercial …",,,,,,,,,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
https://lh3.googleusercontent.com/a-/ALV-UjXaYQR1ywl4_GZ8mSqhLNm9pz49mi8IgvwcICldP8Zg9UpDTAY=w45-h45-p-rp-mo-ba2-br100,Vrushali O,,,,2 years ago,"3rd grade hygiene! This place is nothing but disgusting! The plates had stains of food. ALL plates. The food was stale and smelling. When we informed the Manager, Vishal Patiala, of the same he was extremely rude and didn’t even accept that …",,,,,,,,,"Hi,

We regret the inconveniences you have faced and request you to share your …"
https://lh3.googleusercontent.com/a-/ALV-UjWZEk_DrbTKV_TtSCol_UN9Bo17i5IJ-3Chjxp3Vgbpq37aTI0gEA=w45-h45-p-rp-mo-br100,Keshav Akkineni,,,,3 months ago,"The food was not good at all. The plates, spoons and bowls were not cleaned properly, the stains & the oil are clearly visible. Worst buffet experience ever. The other AB's branches are good but this branch is pathetic. Never visiting this place again.",,,,,,,,,
https://lh3.googleusercontent.com/a-/ALV-UjUk4J3YUHc-nHPKNW-GFPIETTi72FCfJ4PQs2tcrjAb-WQ7A7XvDA=w45-h45-p-rp-mo-ba6-br100,Pramod Madooru,,,,2 years ago,"Very very worst experience, we went for team lunch nearly 60 people., not eve a single person got satisfied and we decided not to go next time and tell to friends not to Go to Absolute Barbecues Gachibowli for the lifetime. They provided …",,,,,,,,,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
